model_type,Transformer_adapter_cl,0,0,0,0,0,0,0
32,16,16,768,32,768,2,0,"W Gradient:weight_adapter2-1,"
16,768,768,3072,16,3072,0,0,"BP:weight_ff2,"
16,3072,3072,768,16,768,0,0,"BP:weight_ff1,"
16,768,768,32,16,32,2,0,"BP:weight_adapter1-2,"
768,16,16,32,768,32,2,0,"W Gradient:weight_adapter1-2,"
16,32,32,768,16,768,2,0,"BP:weight_adapter1-1,"
32,16,16,768,32,768,2,0,"W Gradient:weight_adapter1-1,"
16,768,768,768,16,768,0,0,"BP:weight_headContact,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,768,768,768,16,768,0,0,"BP:weight_kProjection,"
16,768,768,32,16,32,2,0,"BP:weight_adapter2-2,"
768,16,16,32,768,32,2,0,"W Gradient:weight_adapter2-2,"
16,32,32,768,16,768,2,0,"BP:weight_adapter2-1,"
32,16,16,768,32,768,2,0,"W Gradient:weight_adapter2-1,"
16,768,768,3072,16,3072,0,0,"BP:weight_ff2,"
16,3072,3072,768,16,768,0,0,"BP:weight_ff1,"
16,768,768,32,16,32,2,0,"BP:weight_adapter1-2,"
768,16,16,32,768,32,2,0,"W Gradient:weight_adapter1-2,"
16,32,32,768,16,768,2,0,"BP:weight_adapter1-1,"
32,16,16,768,32,768,2,0,"W Gradient:weight_adapter1-1,"
16,768,768,768,16,768,0,0,"BP:weight_headContact,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
16,64,64,16,16,16,2,0,"BP:V,"
16,16,16,64,16,64,2,0,"BP:Q,"
