model_type,BERT_small_adapter_cl,0,0,0,0,0,0,0
16,16,16,128,16,128,1,0,"FP:KQT softmax * V,"
16,128,128,16,16,16,1,1,"FP:K.Q,"
16,16,16,128,16,128,1,0,"FP:KQT softmax * V,"
16,512,512,512,16,512,0,0,"FP:head concat,"
16,512,512,32,16,32,1,0,"FP:adapter 1-1,"
16,32,32,512,16,512,1,0,"FP:adapter 1-2,"
16,512,512,2048,16,2048,0,0,"FP:ff1,"
16,2048,2048,512,16,512,0,0,"FP:ff2,"
16,512,512,32,16,32,1,0,"FP:adapter 2-1,"
16,32,32,512,16,512,1,0,"FP:adapter 2-2,"
16,512,512,512,16,512,0,0,"FP:K,Q,V projection,"
16,512,512,512,16,512,0,0,"FP:K,Q,V projection,"
16,512,512,512,16,512,0,0,"FP:K,Q,V projection,"
16,128,128,16,16,16,1,1,"FP:K.Q,"
16,16,16,128,16,128,1,0,"FP:KQT softmax * V,"
16,128,128,16,16,16,1,1,"FP:K.Q,"
16,16,16,128,16,128,1,0,"FP:KQT softmax * V,"
16,128,128,16,16,16,1,1,"FP:K.Q,"
16,16,16,128,16,128,1,0,"FP:KQT softmax * V,"
16,128,128,16,16,16,1,1,"FP:K.Q,"
16,16,16,128,16,128,1,0,"FP:KQT softmax * V,"
16,512,512,512,16,512,0,0,"FP:head concat,"
16,512,512,32,16,32,1,0,"FP:adapter 1-1,"
16,32,32,512,16,512,1,0,"FP:adapter 1-2,"
16,512,512,2048,16,2048,0,0,"FP:ff1,"
16,2048,2048,512,16,512,0,0,"FP:ff2,"
16,512,512,32,16,32,1,0,"FP:adapter 2-1,"
16,32,32,512,16,512,1,0,"FP:adapter 2-2,"
16,512,512,2,16,2,1,1,"FP:output weight projection,"
2,16,16,512,2,512,2,0,"W Gradient:weight_outputProjection,"
16,2,2,512,16,512,2,0,"BP:weight_outputProjection,"
16,512,512,32,16,32,2,0,"BP:weight_adapter2-2,"
512,16,16,32,512,32,2,0,"W Gradient:weight_adapter2-2,"
16,32,32,512,16,512,2,0,"BP:weight_adapter2-1,"
32,16,16,512,32,512,2,0,"W Gradient:weight_adapter2-1,"
16,512,512,2048,16,2048,0,0,"BP:weight_ff2,"
16,2048,2048,512,16,512,0,0,"BP:weight_ff1,"
16,512,512,32,16,32,2,0,"BP:weight_adapter1-2,"
512,16,16,32,512,32,2,0,"W Gradient:weight_adapter1-2,"
16,32,32,512,16,512,2,0,"BP:weight_adapter1-1,"
32,16,16,512,32,512,2,0,"W Gradient:weight_adapter1-1,"
16,512,512,512,16,512,0,0,"BP:weight_headConcat,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,512,512,512,16,512,0,0,"BP:weight_kProjection,"
16,512,512,32,16,32,2,0,"BP:weight_adapter2-2,"
512,16,16,32,512,32,2,0,"W Gradient:weight_adapter2-2,"
16,32,32,512,16,512,2,0,"BP:weight_adapter2-1,"
32,16,16,512,32,512,2,0,"W Gradient:weight_adapter2-1,"
16,512,512,2048,16,2048,0,0,"BP:weight_ff2,"
16,2048,2048,512,16,512,0,0,"BP:weight_ff1,"
16,512,512,32,16,32,2,0,"BP:weight_adapter1-2,"
512,16,16,32,512,32,2,0,"W Gradient:weight_adapter1-2,"
16,32,32,512,16,512,2,0,"BP:weight_adapter1-1,"
32,16,16,512,32,512,2,0,"W Gradient:weight_adapter1-1,"
16,512,512,512,16,512,0,0,"BP:weight_headConcat,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,512,512,512,16,512,0,0,"BP:weight_kProjection,"
16,512,512,32,16,32,2,0,"BP:weight_adapter2-2,"
512,16,16,32,512,32,2,0,"W Gradient:weight_adapter2-2,"
16,32,32,512,16,512,2,0,"BP:weight_adapter2-1,"
32,16,16,512,32,512,2,0,"W Gradient:weight_adapter2-1,"
16,512,512,2048,16,2048,0,0,"BP:weight_ff2,"
16,2048,2048,512,16,512,0,0,"BP:weight_ff1,"
16,512,512,32,16,32,2,0,"BP:weight_adapter1-2,"
512,16,16,32,512,32,2,0,"W Gradient:weight_adapter1-2,"
16,32,32,512,16,512,2,0,"BP:weight_adapter1-1,"
32,16,16,512,32,512,2,0,"W Gradient:weight_adapter1-1,"
16,512,512,512,16,512,0,0,"BP:weight_headConcat,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,512,512,512,16,512,0,0,"BP:weight_kProjection,"
16,512,512,32,16,32,2,0,"BP:weight_adapter2-2,"
512,16,16,32,512,32,2,0,"W Gradient:weight_adapter2-2,"
16,32,32,512,16,512,2,0,"BP:weight_adapter2-1,"
32,16,16,512,32,512,2,0,"W Gradient:weight_adapter2-1,"
16,512,512,2048,16,2048,0,0,"BP:weight_ff2,"
16,2048,2048,512,16,512,0,0,"BP:weight_ff1,"
16,512,512,32,16,32,2,0,"BP:weight_adapter1-2,"
512,16,16,32,512,32,2,0,"W Gradient:weight_adapter1-2,"
16,32,32,512,16,512,2,0,"BP:weight_adapter1-1,"
32,16,16,512,32,512,2,0,"W Gradient:weight_adapter1-1,"
16,512,512,512,16,512,0,0,"BP:weight_headConcat,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
16,128,128,16,16,16,2,0,"BP:V,"
16,16,16,128,16,128,2,0,"BP:Q,"
